Start Date,1/1/14
End Date,9/30/24
,
,SPX Index
,Last Price
Dates,PX_LAST
11/13/19,3094.04
11/12/19,3091.84
11/11/19,3087.01
11/8/19,3093.08
11/7/19,3085.18
11/6/19,3076.78
11/5/19,3074.62
11/4/19,3078.27
11/1/19,3066.91
10/31/19,3037.56
10/30/19,3046.77
10/29/19,3036.89
10/28/19,3039.42
10/25/19,3022.55
10/24/19,3010.29
10/23/19,3004.52
10/22/19,2995.99
10/21/19,3006.72
10/18/19,2986.2
10/17/19,2997.95
10/16/19,2989.69
10/15/19,2995.68
10/14/19,2966.15
10/11/19,2970.27
10/10/19,2938.13
10/9/19,2919.4
10/8/19,2893.06
10/7/19,2938.79
10/4/19,2952.01
10/3/19,2910.63
10/2/19,2887.61
